name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Ryzen 7 7800X3D,8,4.2,5.0,120,Radeon,True
AMD Ryzen 5 7600X,6,4.7,5.3,105,Radeon,True
AMD Ryzen 5 5600X,6,3.7,4.6,65,,True
AMD Ryzen 5 7600,6,3.8,5.1,65,Radeon,True
Intel Core i9-14900K,24,3.2,6.0,125,Intel UHD Graphics 770,True
Intel Core i7-14700K,20,3.4,5.6,125,Intel UHD Graphics 770,True
Intel Core i5-12400F,6,2.5,4.4,65,,True
AMD Ryzen 5 3600,6,3.6,4.2,65,,True
AMD Ryzen 7 7700X,8,4.5,5.4,105,Radeon,True
AMD Ryzen 9 7950X3D,16,4.2,5.7,120,Radeon,True
AMD Ryzen 5 5600,6,3.5,4.4,65,,True
AMD Ryzen 7 5800X,8,3.8,4.7,105,,True
Intel Core i5-12600KF,10,3.7,4.9,125,,True
AMD Ryzen 5 5500,6,3.6,4.2,65,,True
Intel Core i7-12700K,12,3.6,5.0,125,Intel UHD Graphics 770,True
AMD Ryzen 7 5700X,8,3.4,4.6,65,,True
Intel Core i7-13700K,16,3.4,5.4,125,Intel UHD Graphics 770,True
Intel Core i5-12600K,10,3.7,4.9,125,Intel UHD Graphics 770,True
AMD Ryzen 7 5800X3D,8,3.4,4.5,105,,True
AMD Ryzen 9 7900X,12,4.7,5.6,170,Radeon,True
AMD Ryzen 5 5600G,6,3.9,4.4,65,Radeon Vega 7,True
AMD Ryzen 9 5900X,12,3.7,4.8,105,,True
Intel Core i5-13600K,14,3.5,5.1,125,Intel UHD Graphics 770,True
Intel Core i9-14900KS,24,3.2,6.2,150,Intel UHD Graphics 770,True
Intel Core i7-12700KF,12,3.6,5.0,125,,True
Intel Core i3-12100F,4,3.3,4.3,58,,True
Intel Core i5-13600KF,14,3.5,5.1,125,,True
AMD Ryzen 7 7700,8,3.6,5.3,65,Radeon,True
AMD Threadripper 3990X,64,2.9,4.3,280,,True
Intel Core i9-13900K,24,3.0,5.8,125,Intel UHD Graphics 770,True
Intel Core i7-14700KF,20,3.4,5.6,125,,True
Intel Core i5-13400F,10,2.5,4.6,65,,True
AMD Ryzen 9 7900X3D,12,4.4,5.6,120,Radeon,True
Intel Core i9-12900K,16,3.2,5.2,125,Intel UHD Graphics 770,True
AMD Ryzen 5 4500,6,3.6,4.1,65,,True
AMD Ryzen 9 7950X,16,4.5,5.7,170,Radeon,True
Intel Core i5-14600K,14,3.5,5.3,125,Intel UHD Graphics 770,True
AMD Ryzen 7 3700X,8,3.6,4.4,65,,True
Intel Core i7-13700KF,16,3.4,5.4,125,,True
AMD Ryzen 7 5700G,8,3.8,4.6,65,Radeon Vega 8,True
AMD Ryzen 7 5700X3D,8,3.0,4.1,105,,True
AMD Ryzen 5 7500F,6,3.7,5.0,65,,True
AMD Ryzen 9 5950X,16,3.4,4.9,105,,True
Intel Core i5-14600KF,14,3.5,5.3,125,,True
AMD Ryzen 5 8500G,6,4.1,5.0,65,Radeon 740M,True
Intel Core i9-14900KF,24,3.2,6.0,125,,True
Intel Core i5-10400F,6,2.9,4.3,65,,True
AMD Ryzen 5 4600G,6,3.7,4.2,65,Radeon Vega 7,True
AMD Ryzen 3 4100,4,3.8,4.0,65,,True
Intel Core i5-14400F,10,2.5,4.7,65,,True
AMD Ryzen 9 7900,12,3.6,5.4,65,Radeon,True
AMD Ryzen 7 8700G,8,4.2,5.1,65,Radeon 780M,True
Intel Core i5-14500,14,2.6,5.0,65,Intel UHD Graphics 770,True
AMD Ryzen 5 2600,6,3.4,3.9,65,,True
Intel Core i5-12400,6,2.5,4.4,65,Intel UHD Graphics 730,True
Intel Core i7-9700K,8,3.6,4.9,95,Intel UHD Graphics 630,False
AMD Ryzen 3 3200G,4,3.6,4.0,65,Radeon Vega 8,False
Intel Core i7-8700K,6,3.7,4.7,95,Intel UHD Graphics 630,True
AMD Ryzen 5 8600G,6,4.3,5.0,65,Radeon 760M,True
Intel Core i9-13900KF,24,3.0,5.8,125,,True
Intel Core i3-10100F,4,3.6,4.3,65,,True
AMD Threadripper 3970X,32,3.7,4.5,280,,True
Intel Core i7-14700F,20,2.1,5.4,65,,True
Intel Celeron E1400,2,2.0,,65,,False
AMD Ryzen 5 3600X,6,3.8,4.4,95,,True
AMD Ryzen 7 2700X,8,3.7,4.3,105,,True
Intel Core i9-9900K,8,3.6,5.0,95,Intel UHD Graphics 630,True
Intel Core i3-14100F,4,3.5,4.7,58,,True
Intel Core i7-10700K,8,3.8,5.1,125,Intel UHD Graphics 630,True
AMD Ryzen 9 3900X,12,3.8,4.6,105,,True
Intel Core i5-11400F,6,2.6,4.4,65,,True
Intel Core i5-13500,14,2.5,4.8,65,Intel UHD Graphics 770,True
Intel Core i3-12100,4,3.3,4.3,60,Intel UHD Graphics 730,True
Intel Core i9-12900KF,16,3.2,5.2,125,,True
Intel Core i7-12700F,12,2.1,4.9,65,,True
Intel Core i3-13100F,4,3.4,4.5,58,,True
Intel Core i5-9400F,6,2.9,4.1,65,,False
Intel Core i7-7700K,4,4.2,4.5,91,Intel HD Graphics 630,True
Intel Core i7-6700K,4,4.0,4.2,91,Intel HD Graphics 530,True
Intel Core i9-13900KS,24,3.0,6.0,150,Intel UHD Graphics 770,True
Intel Core i7-13700F,16,2.1,5.2,65,,True
AMD Ryzen 7 3800X,8,3.9,4.5,105,,True
Intel Core i7-11700K,8,3.6,5.0,125,Intel UHD Graphics 750,True
AMD Ryzen 5 3400G,4,3.7,4.2,65,Radeon Vega 11,True
Intel Core i5-9600K,6,3.7,4.6,95,Intel UHD Graphics 630,False
Intel Core i9-11900K,8,3.5,5.3,125,Intel UHD Graphics 750,True
Intel Core i5-10400,6,2.9,4.3,65,Intel UHD Graphics 630,True
Intel Core i5-6500,4,3.2,3.6,65,Intel HD Graphics 530,False
AMD Ryzen 5 2600X,6,3.6,4.2,95,,True
Intel Core i7-8700,6,3.2,4.6,65,Intel UHD Graphics 630,True
Intel Core i9-10900K,10,3.7,5.3,125,Intel UHD Graphics 630,True
Intel Core i7-14700,20,2.1,5.4,65,Intel UHD Graphics 770,True
Intel Core i5-13400,10,2.5,4.6,65,Intel UHD Graphics 730,True
Intel Core i5-8400,6,2.8,4.0,65,Intel UHD Graphics 630,False
AMD Ryzen 5 5500GT,6,3.6,4.4,65,Radeon Vega 7,True
Intel Core i3-14100,4,3.5,4.7,60,Intel UHD Graphics 730,True
Intel Core i7-4790K,4,4.0,4.4,88,Intel HD Graphics 4600,True
Intel Core i7-6700,4,3.4,4.0,65,Intel HD Graphics 530,True
Intel Core i7-10700F,8,2.9,4.8,65,,True
Intel Core i7-12700,12,2.1,4.9,65,Intel UHD Graphics 770,True
Intel Core i9-12900KS,16,3.4,5.5,150,Intel UHD Graphics 770,True
AMD Ryzen 3 3100,4,3.6,3.9,65,,True
Intel Core i5-4690K,4,3.5,3.9,88,Intel HD Graphics 4600,False
Intel Core i5-10600K,6,4.1,4.8,125,Intel UHD Graphics 630,True
AMD Ryzen 9 3950X,16,3.5,4.7,105,,True
Intel Core i7-7700,4,3.6,4.2,65,Intel HD Graphics 630,True
AMD Ryzen 5 5600GT,6,3.6,4.6,65,Radeon Vega 7,True
Intel Core i9-10850K,10,3.6,5.2,125,Intel UHD Graphics 630,True
AMD Threadripper 3960X,24,3.8,4.5,280,,True
Intel Core i5-11400,6,2.6,4.4,65,Intel UHD Graphics 730,True
Intel Core i9-11900KF,8,3.5,5.3,125,,True
AMD Ryzen 5 1600 (14nm),6,3.2,3.6,65,,True
Intel Core i5-14400,10,2.5,4.7,65,Intel UHD Graphics 730,True
Intel Core i7-4770,4,3.4,3.9,84,Intel HD Graphics 4600,True
Intel Core i5-10600KF,6,4.1,4.8,125,,True
Intel Core i7-11700F,8,2.5,4.9,65,,True
AMD Ryzen 7 2700,8,3.2,4.1,65,,True
Intel Core i7-6950X,10,3.0,3.5,140,,True
Intel Core i5-11600K,6,3.9,4.9,125,Intel UHD Graphics 750,True
Intel Core i5-6600K,4,3.5,3.9,91,Intel HD Graphics 530,False
Intel Core i3-10100,4,3.6,4.3,65,Intel UHD Graphics 630,True
Intel Core i7-13700,16,2.1,5.2,65,Intel UHD Graphics 770,True
Intel Core i5-12500,6,3.0,4.6,65,Intel UHD Graphics 770,True
Intel Core i7-10700,8,2.9,4.8,65,Intel UHD Graphics 630,True
AMD Ryzen 5 1600 (12nm),6,3.2,3.6,65,,True
Intel Core i7-3770,4,3.4,,77,Intel HD Graphics 4000,True
Intel Core i3-10105F,4,3.7,4.4,65,,True
Intel Core i5-8600K,6,3.6,4.3,95,Intel UHD Graphics 630,False
Intel Xeon E5-2699 V4,22,2.2,3.6,145,,True
Intel Core i9-14900,24,2.0,5.8,65,Intel UHD Graphics 770,True
AMD Ryzen 3 2200G,4,3.5,3.7,65,Radeon Vega 8,False
Intel Core i9-10900KF,10,3.7,5.3,125,,True
Intel Core i5-7500,4,3.4,3.8,65,Intel HD Graphics 630,False
Intel Core i9-9900KF,8,3.6,5.0,95,,True
AMD Athlon 200GE,2,3.2,,35,Radeon Vega 3,True
Intel Core i7-9700,8,3.0,4.7,65,Intel HD Graphics 630,False
Intel Core i5-7400,4,3.0,3.5,65,Intel HD Graphics 630,False
Intel Core i7-4790,4,3.6,4.0,84,Intel HD Graphics 4600,True
AMD Ryzen 7 5700,8,3.7,4.6,65,,True
AMD Ryzen 5 2400G,4,3.6,3.9,65,Radeon Vega 11,True
AMD Ryzen 5 3500X,6,3.6,4.1,65,,False
Intel Core i5-3470,4,3.2,,77,Intel HD Graphics 2500,False
Intel Xeon E5-2630 V2,6,2.6,3.1,80,,True
Intel Core i9-14900F,24,2.0,5.8,65,,True
Intel Core i7-4770K,4,3.5,3.9,84,Intel HD Graphics 4600,True
AMD Ryzen 7 1700,8,3.0,3.7,65,,True
Intel Celeron G6900,2,3.4,,46,Intel UHD Graphics 710,False
Intel Celeron G5900,2,3.4,,58,Intel UHD Graphics 610,False
