name,capacity,rpm,cache,form_factor,interface
Seagate Barracuda Compute,2000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,24000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,24000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,8000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba MK3276GSX,320.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Seagate SuperSpeed HDD,1000.0,,64.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,18000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate ST6000NM0024,6000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,16000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,22000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,1000.0,7200.0,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red,4000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,500.0,5400.0,32.0,3.5,SATA 3.0 Gb/s
Western Digital WD_BLACK,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,8000.0,5640.0,128.0,3.5,SATA 6.0 Gb/s
Seagate Exos X20,20000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate Constellation CS,3000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,20000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,500.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,16000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,500.0,7200.0,16.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba DT01ACA100,1000.0,7200.0,32.0,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD050,500.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,5000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,2000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Toshiba P300,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
