name,socket,form_factor,max_memory,memory_slots
MSI B650 GAMING PLUS WIFI,AM5,ATX,192,4
Asus ROG STRIX B650-A GAMING WIFI,AM5,ATX,192,4
MSI B760 GAMING PLUS WIFI,LGA1700,ATX,192,4
MSI PRO Z790-A MAX WIFI,LGA1700,ATX,192,4
MSI B550 GAMING GEN3,AM4,ATX,128,4
MSI B450M-A PRO MAX II,AM4,Micro ATX,64,2
MSI MAG B650 TOMAHAWK WIFI,AM5,ATX,192,4
Gigabyte B650 GAMING X AX,AM5,ATX,192,4
Asus PRIME B550M-A WIFI II,AM4,Micro ATX,128,4
ASRock B650M Pro RS WiFi,AM5,Micro ATX,192,4
ASRock B660M Pro RS,LGA1700,Micro ATX,128,4
MSI PRO B650M-P,AM5,Micro ATX,192,4
Asus TUF GAMING Z790-PRO WIFI,LGA1700,ATX,192,4
MSI MAG X670E TOMAHAWK WIFI,AM5,ATX,192,4
MSI PRO Z790-P WIFI,LGA1700,ATX,192,4
MSI MAG B550 TOMAHAWK MAX WIFI,AM4,ATX,128,4
Asus ROG STRIX B550-F GAMING WIFI II,AM4,ATX,128,4
MSI PRO B650M-A WIFI,AM5,Micro ATX,192,4
ASRock B650I Lightning Wifi,AM5,Mini ITX,96,2
MSI B550M PRO-VDH WIFI,AM4,Micro ATX,128,4
MSI PRO B650-S WIFI,AM5,ATX,192,4
Gigabyte B650 EAGLE AX,AM5,ATX,192,4
Asus ROG STRIX B650E-F GAMING WIFI,AM5,ATX,192,4
Gigabyte B650 AORUS ELITE AX ICE,AM5,ATX,192,4
Asus ROG MAXIMUS Z790 DARK HERO,LGA1700,ATX,192,4
Asus Prime B450M-A II,AM4,Micro ATX,128,4
Gigabyte B650 AORUS ELITE AX,AM5,ATX,192,4
Asus PRIME B760-PLUS,LGA1700,ATX,192,4
Gigabyte B550M K,AM4,Micro ATX,128,4
MSI MAG Z790 TOMAHAWK WIFI,LGA1700,ATX,192,4
Gigabyte TRX40 AORUS XTREME,sTRX4,XL ATX,256,8
Gigabyte X670E AORUS PRO X,AM5,ATX,192,4
Asus ROG STRIX Z790-A GAMING WIFI II,LGA1700,ATX,192,4
Gigabyte Z790 AORUS ELITE AX,LGA1700,ATX,192,4
ASRock B450M-HDV R4.0,AM4,Micro ATX,32,2
MSI PRO B550M-VC WIFI,AM4,Micro ATX,128,4
MSI PRO B760-P WIFI DDR4,LGA1700,ATX,128,4
Asus TUF GAMING B650-PLUS WIFI,AM5,ATX,128,4
Gigabyte B550 UD AC,AM4,ATX,128,4
Asus ROG STRIX B650E-I GAMING WIFI,AM5,Mini ITX,96,2
Asus ROG STRIX Z790-E GAMING WIFI II,LGA1700,ATX,192,4
MSI B550-A PRO,AM4,ATX,128,4
MSI PRO A620M-E,AM5,Micro ATX,96,2
MSI PRO H610M-G DDR4,LGA1700,Micro ATX,64,2
ASRock B650M Pro RS,AM5,Micro ATX,192,4
MSI PRO Z690-A WIFI,LGA1700,ATX,192,4
Asus ROG STRIX B760-I GAMING WIFI,LGA1700,Mini ITX,96,2
ASRock B550M Pro4,AM4,Micro ATX,128,4
Gigabyte A520I AC,AM4,Mini ITX,64,2
ASRock B450M/ac R2.0,AM4,Micro ATX,128,4
MSI B450M PRO-VDH MAX,AM4,Micro ATX,64,4
ASRock B760M-HDV/M.2,LGA1700,Micro ATX,96,2
Gigabyte B760M DS3H DDR4,LGA1700,Micro ATX,128,4
Asus TUF GAMING B550-PLUS WIFI II,AM4,ATX,128,4
Gigabyte B650M D3HP,AM5,Micro ATX,192,4
MSI PRO B650-P WIFI,AM5,ATX,192,4
Asus ROG STRIX B550-A GAMING,AM4,ATX,128,4
Asus TUF GAMING A520M-PLUS WIFI,AM4,Micro ATX,128,4
Gigabyte B650 GAMING X AX V2,AM5,ATX,192,4
Asus ROG STRIX X670E-E GAMING WIFI,AM5,ATX,192,4
Asus ROG MAXIMUS Z790 FORMULA,LGA1700,ATX,192,4
NZXT N7 B650E,AM5,ATX,128,4
ASRock Z690M-ITX/ax,LGA1700,Mini ITX,64,2
Gigabyte B550M AORUS ELITE AX,AM4,Micro ATX,128,4
MSI MPG B550 GAMING PLUS,AM4,ATX,128,4
Gigabyte B550 AORUS ELITE AX V2,AM4,ATX,128,4
ASRock A620I LIGHTNING WIFI,AM5,Mini ITX,96,2
Gigabyte B650M AORUS ELITE AX,AM5,Micro ATX,192,4
Gigabyte B450M DS3H WIFI,AM4,Micro ATX,128,4
Asus TUF GAMING X570-PLUS (WI-FI),AM4,ATX,128,4
ASRock B760M-H/M.2,LGA1700,Micro ATX,96,2
Asus TUF GAMING X670E-PLUS WIFI,AM5,ATX,192,4
ASRock B650M-HDV/M.2,AM5,Micro ATX,96,2
MSI MPG B650I EDGE WIFI,AM5,Mini ITX,96,2
Gigabyte B650I AORUS ULTRA,AM5,Mini ITX,96,2
Gigabyte B550 GAMING X V2,AM4,ATX,128,4
MSI X670E GAMING PLUS WIFI,AM5,ATX,192,4
ASRock B650M-H/M.2+,AM5,Micro ATX,96,2
Asus ROG STRIX Z690-I GAMING WIFI,LGA1700,Mini ITX,96,2
Gigabyte B450M K,AM4,Micro ATX,64,2
Gigabyte Z790 AORUS PRO X,LGA1700,ATX,192,4
MSI MAG B550 TOMAHAWK,AM4,ATX,128,4
MSI MEG Z790 GODLIKE MAX,LGA1700,EATX,192,4
Gigabyte B650 AORUS ELITE AX V2,AM5,ATX,192,4
ASRock A520M-HDV,AM4,Micro ATX,64,2
MSI B450 Gaming Plus MAX,AM4,ATX,128,4
ASRock B550M-ITX/ac,AM4,Mini ITX,64,2
ASRock B650 Steel Legend WiFi,AM5,ATX,192,4
Gigabyte A620I AX,AM5,Mini ITX,96,2
Asus ROG STRIX Z690-E GAMING WIFI,LGA1700,ATX,192,4
Asus PRIME X670-P WIFI,AM5,ATX,192,4
MSI PRO B760M-P DDR4,LGA1700,Micro ATX,128,4
Asus ROG CROSSHAIR X670E HERO,AM5,ATX,192,4
Asus ROG STRIX Z790-E GAMING WIFI,LGA1700,ATX,192,4
MSI MAG B760 TOMAHAWK WIFI,LGA1700,ATX,192,4
Gigabyte H410M H V2,LGA1200,Micro ATX,64,2
Asus TUF GAMING Z790-PLUS WIFI,LGA1700,ATX,192,4
Asus ROG ZENITH II EXTREME ALPHA,sTRX4,EATX,256,8
ASRock X670E Steel Legend,AM5,ATX,192,4
Gigabyte B550I AORUS PRO AX,AM4,Mini ITX,64,2
Gigabyte B650M D3HP AX,AM5,Micro ATX,192,4
Gigabyte B760M DS3H AX,LGA1700,Micro ATX,192,4
Gigabyte B550M DS3H AC,AM4,Micro ATX,128,4
Gigabyte Z790 AORUS ELITE X WIFI7,LGA1700,ATX,192,4
