name,memory_size,memory_type,bus_speed,module_sticks,module_capacity,first_word_latency,cas_latency
Corsair Vengeance LPX,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,32.0,5,5600,2,16,12.857,36.0
G.Skill Trident Z5 RGB,32.0,5,6000,2,16,12.0,36.0
Corsair Vengeance,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB Pro,32.0,4,3600,2,16,10.0,18.0
G.Skill Trident Z5 RGB,64.0,5,6400,2,32,10.0,32.0
Corsair Vengeance LPX,32.0,4,3600,2,16,10.0,18.0
Corsair Vengeance RGB,32.0,5,6000,2,16,12.0,36.0
TEAMGROUP T-Force Delta RGB,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB Pro,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,16.0,5,5200,2,8,15.385,40.0
G.Skill Flare X5,32.0,5,6000,2,16,12.0,36.0
G.Skill Trident Z5 Neo RGB,32.0,5,6000,2,16,10.0,30.0
Silicon Power GAMING,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance,64.0,5,5200,2,32,15.385,40.0
G.Skill Ripjaws V,16.0,4,4800,2,8,7.083,17.0
G.Skill Flare X5,32.0,5,6000,2,16,10.0,30.0
TEAMGROUP T-Create Expert,32.0,5,6000,2,16,10.0,30.0
G.Skill Ripjaws V,16.0,4,3200,2,8,10.0,16.0
TEAMGROUP T-Force Vulcan Z,16.0,4,3200,2,8,10.0,16.0
Corsair Vengeance RGB,32.0,5,6000,2,16,13.333,40.0
Corsair Vengeance LPX,16.0,4,3600,2,8,10.0,18.0
G.Skill Ripjaws V,32.0,4,3200,2,16,10.0,16.0
Corsair Dominator Titanium,64.0,5,6600,2,32,9.697,32.0
G.Skill Flare X5,32.0,5,6000,2,16,10.667,32.0
Corsair Vengeance LPX,32.0,4,3200,2,16,10.0,16.0
Corsair Vengeance,32.0,5,5200,2,16,15.385,40.0
G.Skill Ripjaws S5,32.0,5,6000,2,16,10.0,30.0
Corsair Vengeance RGB,64.0,5,6000,2,32,10.0,30.0
TEAMGROUP T-Force Vulcan Z,32.0,4,3600,2,16,10.0,18.0
Corsair Vengeance RGB Pro SL,32.0,4,3600,2,16,10.0,18.0
Kingston FURY Beast RGB,16.0,5,6000,2,8,12.0,36.0
TEAMGROUP T-Force Vulcan Z,32.0,4,3200,2,16,10.0,16.0
Silicon Power Value Gaming,32.0,5,6000,2,16,10.0,30.0
Silicon Power GAMING,32.0,4,3200,2,16,10.0,16.0
G.Skill Trident Z5 Neo,64.0,5,6000,2,32,10.0,30.0
Corsair Vengeance RGB,32.0,5,6000,2,16,10.0,30.0
Kingston FURY Beast,16.0,4,3200,2,8,10.0,16.0
G.Skill Trident Z5 RGB,32.0,5,7200,2,16,9.444,34.0
Corsair Vengeance LPX,64.0,4,3200,2,32,10.0,16.0
