name,capacity,cache,form_factor,interface
Samsung 980 Pro,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,1000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,1000,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro,4000,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,1000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,1000,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,2000,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,2000,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,1000,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,16000,,2.5,SATA 6.0 Gb/s
Kingston NV2,2000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,1000,1024.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN770,1000,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,512,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,8000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,500,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,1000,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro,1000,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,1000,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,500,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,2000,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,4000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,2000,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,4000,,M.2-2280,M.2 PCIe 4.0 X4
Intel 750,1200,,PCIe,PCIe x4
Samsung 870 Evo,2000,2048.0,2.5,SATA 6.0 Gb/s
Silicon Power UD90,2000,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,1000,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,1000,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,2000,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,1000,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,2000,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,8000,,2.5,SATA 6.0 Gb/s
Crucial T700,4000,,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP MP33,2000,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,1000,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,2000,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,500,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,4000,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO,1000,,M.2-2280,M.2 PCIe 5.0 X2
Kingston KC3000,2048,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,4000,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,500,512.0,2.5,SATA 6.0 Gb/s
Crucial T700,1000,,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,240,,2.5,SATA 6.0 Gb/s
Samsung 980 Pro,500,512.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,2000,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,2000,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,1000,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,2000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,4000,4096.0,2.5,SATA 6.0 Gb/s
Lexar NM790,2000,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,1000,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,1000,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P300,256,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,2000,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,8000,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,1000,,2.5,SATA 6.0 Gb/s
Samsung 990 EVO,2000,,M.2-2280,M.2 PCIe 5.0 X2
Crucial MX500,1000,1024.0,2.5,SATA 6.0 Gb/s
Leven JS600,128,,2.5,SATA 6.0 Gb/s
Crucial P3 Plus,500,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,1000,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,2000,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,512,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,1000,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,1024,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,1000,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,500,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,1000,,M.2-2280,M.2 PCIe 3.0 X4
VisionTek QLC,8000,,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,1000,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 5,4000,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980 Pro w/Heatsink,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,2000,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,480,,2.5,SATA 6.0 Gb/s
Kingston NV2,250,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,2000,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,1000,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480 PRO,1000,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,128,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,2000,2048.0,2.5,SATA 6.0 Gb/s
Leven JPS800,1000,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,1000,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO XT,8000,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,500,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,512,,2.5,SATA 6.0 Gb/s
Leven JPS600,2000,,M.2-2280,M.2 PCIe 3.0 X4
Corsair Neutron XTi,1920,,2.5,SATA 6.0 Gb/s
